,text_svd_0,text_svd_1,text_svd_2,text_svd_3,text_svd_4,text_svd_5,text_svd_6,text_svd_7,text_svd_8,text_svd_9,text_svd_10,text_svd_11,text_svd_12,text_svd_13,text_svd_14,count_UVM_ERROR,count_SIM_ERROR,unique_modules,total_messages,error_duration,info_ratio
debounce_times.log,0.27157152682948293,0.508826647101383,0.27180378423252916,0.08553301418036205,0.25186521589412736,-0.3480793204314764,0.5107578677474368,-0.2622135859413994,0.15956674769657248,0.2155543276609906,-0.0010372201953780969,-4.3972733545122245e-32,3.3110353803809356e-32,4.4463706553019957e-32,-1.7254387395978678e-32,-0.4958589716919467,-0.26726124191242434,0.0453813520389659,-1.1749299065629657,3.040419029294501,0.04621588854647282
dsi3_clear_command_buffer.log,0.7499399474078059,0.42318887462788357,0.08205057437801866,-0.13631424245486315,-0.17686618263155737,0.3540811770856943,0.14177257472549457,0.008679639249353447,-0.23439925342951373,-0.027606939995425912,0.02554023238512893,0.0,-4.163336342344337e-17,-1.734723475976807e-17,-1.0408340855860843e-17,-0.5168181392167912,-0.26726124191242434,0.3857414923312091,1.134914896037888,-0.5129560014121228,0.8285930776742336
dsi3_crm.log,0.8148899595823643,-0.2910825646387011,-0.23405478125502588,-0.1988326923562228,0.002938534139215944,0.1858625408567436,0.07393397347638378,0.09195092017320267,0.3267672611851419,0.025806728537169314,-0.031490644732978454,1.3877787807814457e-17,0.0,-3.9898639947466563e-17,-6.938893903907228e-18,-0.5168181392167912,-0.26726124191242434,2.9384425445230327,0.7688332982001018,-0.5129560014121228,0.8264871425799615
dsi3_crm_ecc_2_bit_error_sim.log,0.8148899595823643,-0.2910825646387011,-0.23405478125502588,-0.1988326923562228,0.002938534139215944,0.1858625408567436,0.07393397347638378,0.09195092017320267,0.3267672611851419,0.025806728537169314,-0.031490644732978454,1.3877787807814457e-17,0.0,-3.9898639947466563e-17,-6.938893903907228e-18,-0.10549447654171747,-0.26726124191242434,-0.5502488934724596,-0.34241947087094443,-0.3728150258056398,-0.38095613732490946
dsi3_pdcm.log,0.3581763430463123,0.3828370227763615,0.24504998910006173,-0.23743889514574962,0.32749467980398755,0.17202110186287572,-0.5260184621755389,-0.4229112273962571,0.12749190540381816,-0.0057760786771067305,-0.0061556937858604464,0.0,-1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,-0.3334254233744016,-0.26726124191242434,-0.2949787882532773,0.967669496010473,0.5924757185989556,0.6090052576705628
dsi3_sync_channels.log,0.6533519024599528,0.32547920235977534,-0.09202540300399226,0.5592448671235333,-0.190561482537067,-0.24456313659398926,-0.1909785497568963,0.09928329717023054,0.053793206473465936,-0.007564353470009374,-0.02377750414504145,0.0,2.7755575615628914e-17,4.163336342344337e-17,0.0,-0.5089584513949745,-0.26726124191242434,0.8111916676965131,-0.08411824193971462,-0.4965210217922257,0.7987363823809057
dsi3_sync_pin.log,0.35429537012047274,-0.014217712852775052,0.47794054940752845,-0.4590747533385038,-0.18958058682941775,-0.4623198984776702,0.06520845105369179,0.005704871652442379,0.07370151143801434,-0.4191354550653653,0.00492258775175649,-2.7755575615628914e-17,2.7755575615628914e-17,-2.7755575615628914e-17,0.0,0.10409719870672776,-0.26726124191242434,0.47083152740426987,0.2187817603321592,1.7054713402448645,-0.3045137301014468
dsi3_sync_pin_sim.log,0.7499399474078059,0.42318887462788357,0.08205057437801866,-0.13631424245486315,-0.17686618263155737,0.3540811770856943,0.14177257472549457,0.008679639249353447,-0.23439925342951373,-0.027606939995425912,0.02554023238512893,0.0,-4.163336342344337e-17,-1.734723475976807e-17,-1.0408340855860843e-17,-0.5141982432761857,3.741657386773941,-1.0607891039108244,-1.2083789865684489,-0.5057803785179978,0.26461510740747496
ic_startup.log,0.69942213182556,-0.5323989702030223,-0.21837904543725803,0.07169206897673659,0.23326610968983288,-0.192321886562329,0.013085659307380383,-0.16131676807980844,-0.23789851733421094,-0.011702896097245537,0.014250450809391788,-1.3877787807814457e-17,-2.42861286636753e-17,4.163336342344337e-17,-6.938893903907228e-18,-0.5141982432761857,-0.26726124191242434,-0.38006882332633807,-1.0225507643157654,-0.4951163524487085,0.7033044474572806
interrupts_test_sim.log,0.32299181347636813,-0.1907371895212649,0.41821093598508513,-0.5192568842661999,-0.2907014758157024,-0.3014851722704982,-0.22229278371961575,0.17212940964100276,-0.1024589995500886,0.3868657719582494,0.012699193918525805,-4.163336342344337e-17,-2.7755575615628914e-17,-5.551115123125783e-17,1.9081958235744878e-17,3.122217322284339,-0.26726124191242434,-0.38006882332633807,2.2517425117765146,-0.14909868152578246,-1.9708957192303977
