$label,$beginTime,$endTime,$type,label,tr_type,data_in,data_out,word_index,bit_count,is_first_of_frame,is_last_of_frame,status,status.flags, command, data_in,data_out,last_bit,address,data,mosi_crc_correct,mosi_crc,miso_crc_correct,miso_crc,channel_bits,pulse_count,wait_time,external_sync,broad_cast,dsi3_crc_correct,crm_packet,crm_packet.word_1,crm_packet.word_2,packet_index,tdma_packet,tdma_packet.earliest_start_time,tdma_packet.latest_start_time,tdma_packet.symbol_count,tdma_packet.id_symbol_count,tdma_packet.enable,tdma_packet.start_time,tdma_packet.tolerance,tdma_packet.tolerance_int,tdma_packet.tolerance_int_min,tdma_packet.tolerance_int_max,tdma_packet.fine_delay_time,tdma_packet.crc_error_injection,tdma_packet.symbol_coding_error_injection,tdma_packet.chip_length_error_injection,tdma_packet.packet,pdcm_period,packet_count,channel_0,
spi-start,3299113000,3299443000,Transaction,"Transactions","SPI_START",16'hXXXX,16'hXXXX,39,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
_spi_pdcm_seq,3299443000,3303303000,Transaction,-,-,-,-,-,-,1'h0,1'h0,-,-,""PDCM: channels 0010, pulses 228"",""cbe4 "",""c5a8 "",-,-,-,-,-,-,-,2'b10,-28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-data,3299443000,3302643000,Transaction,"Transactions","SPI_DATA",16'hcbe4,16'hc5a8,40,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-end,3302643000,3302973000,Transaction,"Transactions","SPI_END",16'hXXXX,16'hXXXX,-1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-start,3302973000,3303303000,Transaction,"Transactions","SPI_START",16'hXXXX,16'hXXXX,40,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
_spi_pdcm_seq,3303303000,3307163000,Transaction,-,-,-,-,-,-,1'h0,1'h0,-,-,""PDCM: channels 0010, pulses   8"",""ca08 "",""cbe4 "",-,-,-,-,-,-,-,2'b10,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-data,3303303000,3306503000,Transaction,"Transactions","SPI_DATA",16'hca08,16'hcbe4,41,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-end,3306503000,3306833000,Transaction,"Transactions","SPI_END",16'hXXXX,16'hXXXX,-1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-start,3306833000,3307163000,Transaction,"Transactions","SPI_START",16'hXXXX,16'hXXXX,41,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
_spi_pdcm_seq,3307163000,3311023000,Transaction,-,-,-,-,-,-,1'h0,1'h0,-,-,""PDCM: channels 0001, pulses 244"",""c7f4 "",""ca08 "",-,-,-,-,-,-,-,2'b1,-12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-data,3307163000,3310363000,Transaction,"Transactions","SPI_DATA",16'hc7f4,16'hca08,42,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-end,3310363000,3310693000,Transaction,"Transactions","SPI_END",16'hXXXX,16'hXXXX,-1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-start,3310693000,3311023000,Transaction,"Transactions","SPI_START",16'hXXXX,16'hXXXX,42,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
_spi_pdcm_seq,3311023000,3314883000,Transaction,-,-,-,-,-,-,1'h0,1'h0,-,-,""PDCM: channels 0000, pulses  79"",""c34f "",""c7f4 "",-,-,-,-,-,-,-,2'b0,79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-data,3311023000,3314223000,Transaction,"Transactions","SPI_DATA",16'hc34f,16'hc7f4,43,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-end,3314223000,3314553000,Transaction,"Transactions","SPI_END",16'hXXXX,16'hXXXX,-1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-start,3314553000,3314883000,Transaction,"Transactions","SPI_START",16'hXXXX,16'hXXXX,43,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
_spi_pdcm_seq,3314883000,3318743000,Transaction,-,-,-,-,-,-,1'h0,1'h0,-,-,""PDCM: channels 0001, pulses 114"",""c772 "",""c34f "",-,-,-,-,-,-,-,2'b1,114,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-data,3314883000,3318083000,Transaction,"Transactions","SPI_DATA",16'hc772,16'hc34f,44,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-end,3318083000,3318413000,Transaction,"Transactions","SPI_END",16'hXXXX,16'hXXXX,-1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-start,3318413000,3318743000,Transaction,"Transactions","SPI_START",16'hXXXX,16'hXXXX,44,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
_spi_pdcm_seq,3318743000,3322603000,Transaction,-,-,-,-,-,-,1'h0,1'h0,-,-,""PDCM: channels 0011, pulses 234"",""ccea "",""c772 "",-,-,-,-,-,-,-,2'b11,-22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-data,3318743000,3321943000,Transaction,"Transactions","SPI_DATA",16'hccea,16'hc772,45,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-end,3321943000,3322273000,Transaction,"Transactions","SPI_END",16'hXXXX,16'hXXXX,-1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-start,3322273000,3322603000,Transaction,"Transactions","SPI_START",16'hXXXX,16'hXXXX,45,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
_spi_pdcm_seq,3322603000,3326463000,Transaction,-,-,-,-,-,-,1'h0,1'h0,-,-,""PDCM: channels 0011, pulses  22"",""cc16 "",""ccea "",-,-,-,-,-,-,-,2'b11,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-data,3322603000,3325803000,Transaction,"Transactions","SPI_DATA",16'hcc16,16'hccea,46,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-end,3325803000,3326133000,Transaction,"Transactions","SPI_END",16'hXXXX,16'hXXXX,-1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-start,3326133000,3326463000,Transaction,"Transactions","SPI_START",16'hXXXX,16'hXXXX,46,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
_spi_pdcm_seq,3326463000,3330323000,Transaction,-,-,-,-,-,-,1'h0,1'h0,-,-,""PDCM: channels 0010, pulses  64"",""ca40 "",""cc16 "",-,-,-,-,-,-,-,2'b10,64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-data,3326463000,3329663000,Transaction,"Transactions","SPI_DATA",16'hca40,16'hcc16,47,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-end,3329663000,3329993000,Transaction,"Transactions","SPI_END",16'hXXXX,16'hXXXX,-1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-start,3329993000,3330323000,Transaction,"Transactions","SPI_START",16'hXXXX,16'hXXXX,47,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
_spi_pdcm_seq,3330323000,3334183000,Transaction,-,-,-,-,-,-,1'h0,1'h0,-,-,""PDCM: channels 0011, pulses 170"",""ceaa "",""ca40 "",-,-,-,-,-,-,-,2'b11,-86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-data,3330323000,3333523000,Transaction,"Transactions","SPI_DATA",16'hceaa,16'hca40,48,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-end,3333523000,3333853000,Transaction,"Transactions","SPI_END",16'hXXXX,16'hXXXX,-1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-start,3333853000,3334183000,Transaction,"Transactions","SPI_START",16'hXXXX,16'hXXXX,48,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
_spi_pdcm_seq,3334183000,3338043000,Transaction,-,-,-,-,-,-,1'h0,1'h0,-,-,""PDCM: channels 0011, pulses 178"",""ccb2 "",""ceaa "",-,-,-,-,-,-,-,2'b11,-78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-data,3334183000,3337383000,Transaction,"Transactions","SPI_DATA",16'hccb2,16'hceaa,49,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-end,3337383000,3337713000,Transaction,"Transactions","SPI_END",16'hXXXX,16'hXXXX,-1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-start,3337713000,3338043000,Transaction,"Transactions","SPI_START",16'hXXXX,16'hXXXX,49,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
_spi_pdcm_seq,3338043000,3341903000,Transaction,-,-,-,-,-,-,1'h0,1'h0,-,-,""PDCM: channels 0010, pulses 226"",""cbe2 "",""ccb2 "",-,-,-,-,-,-,-,2'b10,-30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-data,3338043000,3341243000,Transaction,"Transactions","SPI_DATA",16'hcbe2,16'hccb2,50,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-end,3341243000,3341573000,Transaction,"Transactions","SPI_END",16'hXXXX,16'hXXXX,-1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-start,3341573000,3341903000,Transaction,"Transactions","SPI_START",16'hXXXX,16'hXXXX,50,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
_spi_pdcm_seq,3341903000,3345763000,Transaction,-,-,-,-,-,-,1'h0,1'h0,-,-,""PDCM: channels 0000, pulses  16"",""c110 "",""cbe2 "",-,-,-,-,-,-,-,2'b0,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-data,3341903000,3345103000,Transaction,"Transactions","SPI_DATA",16'hc110,16'hcbe2,51,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-end,3345103000,3345433000,Transaction,"Transactions","SPI_END",16'hXXXX,16'hXXXX,-1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-start,3345433000,3345763000,Transaction,"Transactions","SPI_START",16'hXXXX,16'hXXXX,51,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
_spi_pdcm_seq,3345763000,3349623000,Transaction,-,-,-,-,-,-,1'h0,1'h0,-,-,""PDCM: channels 0011, pulses 226"",""cce2 "",""c110 "",-,-,-,-,-,-,-,2'b11,-30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-data,3345763000,3348963000,Transaction,"Transactions","SPI_DATA",16'hcce2,16'hc110,52,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-end,3348963000,3349293000,Transaction,"Transactions","SPI_END",16'hXXXX,16'hXXXX,-1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-start,3349293000,3349623000,Transaction,"Transactions","SPI_START",16'hXXXX,16'hXXXX,52,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
_spi_pdcm_seq,3349623000,3353483000,Transaction,-,-,-,-,-,-,1'h0,1'h0,-,-,""PDCM: channels 0000, pulses 103"",""c167 "",""cce2 "",-,-,-,-,-,-,-,2'b0,103,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-data,3349623000,3352823000,Transaction,"Transactions","SPI_DATA",16'hc167,16'hcce2,53,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-end,3352823000,3353153000,Transaction,"Transactions","SPI_END",16'hXXXX,16'hXXXX,-1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-start,3353153000,3353483000,Transaction,"Transactions","SPI_START",16'hXXXX,16'hXXXX,53,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
_spi_pdcm_seq,3353483000,3357343000,Transaction,-,-,-,-,-,-,1'h0,1'h0,-,-,""PDCM: channels 0010, pulses  28"",""ca1c "",""c167 "",-,-,-,-,-,-,-,2'b10,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-data,3353483000,3356683000,Transaction,"Transactions","SPI_DATA",16'hca1c,16'hc167,54,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-end,3356683000,3357013000,Transaction,"Transactions","SPI_END",16'hXXXX,16'hXXXX,-1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-start,3357013000,3357343000,Transaction,"Transactions","SPI_START",16'hXXXX,16'hXXXX,54,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
_spi_pdcm_seq,3357343000,3361203000,Transaction,-,-,-,-,-,-,1'h0,1'h0,-,-,""PDCM: channels 0011, pulses  60"",""ce3c "",""ca1c "",-,-,-,-,-,-,-,2'b11,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-data,3357343000,3360543000,Transaction,"Transactions","SPI_DATA",16'hce3c,16'hca1c,55,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-end,3360543000,3360873000,Transaction,"Transactions","SPI_END",16'hXXXX,16'hXXXX,-1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-start,3360873000,3361203000,Transaction,"Transactions","SPI_START",16'hXXXX,16'hXXXX,55,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
_spi_pdcm_seq,3361203000,3365063000,Transaction,-,-,-,-,-,-,1'h0,1'h0,-,-,""PDCM: channels 0000, pulses 251"",""c1fb "",""ce3c "",-,-,-,-,-,-,-,2'b0,-5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-data,3361203000,3364403000,Transaction,"Transactions","SPI_DATA",16'hc1fb,16'hce3c,56,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-end,3364403000,3364733000,Transaction,"Transactions","SPI_END",16'hXXXX,16'hXXXX,-1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-start,3364733000,3365063000,Transaction,"Transactions","SPI_START",16'hXXXX,16'hXXXX,56,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
_spi_pdcm_seq,3365063000,3368923000,Transaction,-,-,-,-,-,-,1'h0,1'h0,-,-,""PDCM: channels 0010, pulses 217"",""c9d9 "",""c1fb "",-,-,-,-,-,-,-,2'b10,-39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-data,3365063000,3368263000,Transaction,"Transactions","SPI_DATA",16'hc9d9,16'hc1fb,57,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-end,3368263000,3368593000,Transaction,"Transactions","SPI_END",16'hXXXX,16'hXXXX,-1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-start,3368593000,3368923000,Transaction,"Transactions","SPI_START",16'hXXXX,16'hXXXX,57,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
_spi_pdcm_seq,3368923000,3372783000,Transaction,-,-,-,-,-,-,1'h0,1'h0,-,-,""PDCM: channels 0011, pulses 142"",""cd8e "",""c9d9 "",-,-,-,-,-,-,-,2'b11,-114,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-data,3368923000,3372123000,Transaction,"Transactions","SPI_DATA",16'hcd8e,16'hc9d9,58,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-end,3372123000,3372453000,Transaction,"Transactions","SPI_END",16'hXXXX,16'hXXXX,-1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-start,3372453000,3372783000,Transaction,"Transactions","SPI_START",16'hXXXX,16'hXXXX,58,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
_spi_pdcm_seq,3372783000,3376643000,Transaction,-,-,-,-,-,-,1'h0,1'h0,-,-,""PDCM: channels 0001, pulses  82"",""c752 "",""cd8e "",-,-,-,-,-,-,-,2'b1,82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-data,3372783000,3375983000,Transaction,"Transactions","SPI_DATA",16'hc752,16'hcd8e,59,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-end,3375983000,3376313000,Transaction,"Transactions","SPI_END",16'hXXXX,16'hXXXX,-1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-start,3376313000,3376643000,Transaction,"Transactions","SPI_START",16'hXXXX,16'hXXXX,59,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
_spi_pdcm_seq,3376643000,3380503000,Transaction,-,-,-,-,-,-,1'h0,1'h0,-,-,""PDCM: channels 0001, pulses 181"",""c5b5 "",""c752 "",-,-,-,-,-,-,-,2'b1,-75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-data,3376643000,3379843000,Transaction,"Transactions","SPI_DATA",16'hc5b5,16'hc752,60,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-end,3379843000,3380173000,Transaction,"Transactions","SPI_END",16'hXXXX,16'hXXXX,-1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-start,3380173000,3380503000,Transaction,"Transactions","SPI_START",16'hXXXX,16'hXXXX,60,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
_spi_pdcm_seq,3380503000,3384363000,Transaction,-,-,-,-,-,-,1'h0,1'h0,-,-,""PDCM: channels 0001, pulses 133"",""c485 "",""c5b5 "",-,-,-,-,-,-,-,2'b1,-123,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-data,3380503000,3383703000,Transaction,"Transactions","SPI_DATA",16'hc485,16'hc5b5,61,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-end,3383703000,3384033000,Transaction,"Transactions","SPI_END",16'hXXXX,16'hXXXX,-1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-start,3384033000,3384363000,Transaction,"Transactions","SPI_START",16'hXXXX,16'hXXXX,61,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
_spi_pdcm_seq,3384363000,3388223000,Transaction,-,-,-,-,-,-,1'h0,1'h0,-,-,""PDCM: channels 0011, pulses  99"",""cc63 "",""c485 "",-,-,-,-,-,-,-,2'b11,99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-data,3384363000,3387563000,Transaction,"Transactions","SPI_DATA",16'hcc63,16'hc485,62,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-end,3387563000,3387893000,Transaction,"Transactions","SPI_END",16'hXXXX,16'hXXXX,-1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-start,3387893000,3388223000,Transaction,"Transactions","SPI_START",16'hXXXX,16'hXXXX,62,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
